Filenames,Predictions,Labels
0.jpg,nipple,water jug
1.jpg,cocktail shaker,water jug
2.jpg,water jug,water jug
3.jpg,water jug,water jug
4.jpg,water jug,water jug
5.jpg,water jug,water jug
6.jpg,hair spray,water jug
7.jpg,jigsaw puzzle,water jug
8.jpg,water jug,water jug
9.jpg,water jug,water jug
10.jpg,water bottle,water jug
11.jpg,"bucket, pail",water jug
12.jpg,water jug,water jug
13.jpg,"candle, taper, wax light",water jug
14.jpg,water jug,water jug
15.jpg,water jug,water jug
16.jpg,water jug,water jug
17.jpg,"pop bottle, soda bottle",water jug
18.jpg,water jug,water jug
19.jpg,water jug,water jug
20.jpg,nipple,water jug
21.jpg,ski,water jug
22.jpg,hair spray,water jug
23.jpg,milk can,water jug
24.jpg,water jug,water jug
25.jpg,"theater curtain, theatre curtain",water jug
26.jpg,water jug,water jug
27.jpg,eggnog,water jug
28.jpg,water jug,water jug
29.jpg,water jug,water jug
30.jpg,water jug,water jug
31.jpg,water jug,water jug
32.jpg,water jug,water jug
33.jpg,potter's wheel,water jug
34.jpg,potter's wheel,water jug
35.jpg,water jug,water jug
36.jpg,water jug,water jug
37.jpg,water jug,water jug
38.jpg,water jug,water jug
39.jpg,cocktail shaker,water jug
40.jpg,"pop bottle, soda bottle",water jug
41.jpg,water jug,water jug
42.jpg,water jug,water jug
43.jpg,"rocking chair, rocker",water jug
44.jpg,"candle, taper, wax light",water jug
45.jpg,water jug,water jug
46.jpg,hourglass,water jug
47.jpg,water jug,water jug
48.jpg,water bottle,water jug
49.jpg,water jug,water jug
50.jpg,vending machine,water jug
51.jpg,water jug,water jug
52.jpg,water jug,water jug
53.jpg,water jug,water jug
54.jpg,water jug,water jug
55.jpg,"goldfish, Carassius auratus",water jug
56.jpg,jack-o'-lantern,water jug
57.jpg,water bottle,water jug
58.jpg,water jug,water jug
59.jpg,"lampshade, lamp shade",water jug
60.jpg,"pot, flowerpot",water jug
61.jpg,fountain,water jug
62.jpg,water jug,water jug
63.jpg,"tub, vat",water jug
64.jpg,water jug,water jug
65.jpg,bulletproof vest,water jug
66.jpg,water jug,water jug
67.jpg,water bottle,water jug
68.jpg,water jug,water jug
69.jpg,water jug,water jug
70.jpg,water jug,water jug
71.jpg,water bottle,water jug
72.jpg,water jug,water jug
73.jpg,sarong,water jug
74.jpg,"theater curtain, theatre curtain",water jug
75.jpg,water jug,water jug
76.jpg,water jug,water jug
77.jpg,snail,water jug
78.jpg,water jug,water jug
79.jpg,stage,water jug
80.jpg,nipple,water jug
81.jpg,shower cap,water jug
82.jpg,water bottle,water jug
83.jpg,sliding door,water jug
84.jpg,water jug,water jug
85.jpg,water jug,water jug
86.jpg,"piggy bank, penny bank",water jug
87.jpg,water jug,water jug
88.jpg,water jug,water jug
89.jpg,pill bottle,water jug
90.jpg,water jug,water jug
91.jpg,milk can,water jug
92.jpg,cocktail shaker,water jug
93.jpg,soap dispenser,water jug
94.jpg,water jug,water jug
95.jpg,"refrigerator, icebox",water jug
96.jpg,pill bottle,water jug
97.jpg,water jug,water jug
98.jpg,water jug,water jug
99.jpg,water jug,water jug
100.jpg,water bottle,water jug
101.jpg,"saltshaker, salt shaker",water jug
102.jpg,nipple,water jug
103.jpg,water jug,water jug
104.jpg,rain barrel,water jug
105.jpg,bubble,water jug
106.jpg,"chime, bell, gong",water jug
107.jpg,lotion,water jug
108.jpg,"bucket, pail",water jug
109.jpg,water jug,water jug
110.jpg,"handkerchief, hankie, hanky, hankey",water jug
111.jpg,bassinet,water jug
112.jpg,water jug,water jug
113.jpg,water jug,water jug
114.jpg,water jug,water jug
115.jpg,mosquito net,water jug
116.jpg,water jug,water jug
117.jpg,mixing bowl,water jug
118.jpg,water jug,water jug
119.jpg,water jug,water jug
120.jpg,nipple,water jug
121.jpg,goblet,water jug
122.jpg,water jug,water jug
123.jpg,water jug,water jug
124.jpg,steel drum,water jug
125.jpg,water jug,water jug
126.jpg,water jug,water jug
127.jpg,water jug,water jug
128.jpg,water jug,water jug
129.jpg,nipple,water jug
130.jpg,Petri dish,water jug
131.jpg,water jug,water jug
132.jpg,barbell,water jug
133.jpg,water jug,water jug
134.jpg,water jug,water jug
135.jpg,water jug,water jug
136.jpg,water jug,water jug
137.jpg,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",water jug
138.jpg,"solar dish, solar collector, solar furnace",water jug
139.jpg,"pajama, pyjama, pj's, jammies",water jug
140.jpg,"saltshaker, salt shaker",water jug
141.jpg,eggnog,water jug
142.jpg,water jug,water jug
143.jpg,"sax, saxophone",water jug
